TIME_S,ENGINE_RPM,CYLINDER_HEAD_TEMP,ENGINE_BLOCK_TEMP,EXHAUST_GAS_TEMP,OIL_TEMP,OIL_PRESSURE,OIL_LEVEL,FUEL_FLOW,FUEL_PRESSURE,INJECTION_TIMING,AFR_GUAGE,MANIFOLD_PRESSURE,CARB_AIR_INTAKE_PRESSURE,BAROMETRIC PRESSURE,FLYING_ALT,TEMPARATURE,HUMIDITY,FIRE,BATT_VOLT,BATT_AMP,PROP_RPM,PROPELLER_TORQUE,COOLANT_FLOW_RATE,COOLANT_TEMP,COOLANT_PRESSURE,COOLANT_LEVEL,ENGINE_RUNTIME,ENGINE_MOUNT_VIBRATION,ALTERNATOR_VOLT,ALTERNATOR_AMP,ALTERNATOR_TEMP,STARTER_MOTOR_AMP,TURBO_TARGET_BOOST_PRESSURE,TURBO_SHAFT_SPEED,EXHAUST_BACKPRESSURE,FUEL_LEVEL,FUEL_TEMP,G_FORCE,AIRSPEED,THROTTLE_POSITION
0.0,1846.2,64.42,57.68,449.78,60.48,0.969,95.0,6.98,0.187,11.45,14.24,30.76,59.45,982.56,850.0,13.32,54.78,0,26.96,1.0,759.9,10.63,8.84,57.06,0.409,96.52,360.0,1.139,27.24,6.79,44.38,0.0,0.89,32700.0,11.6,82.0,18.53,1.007,40.0,8.24
0.016667,1860.7,64.41,57.46,446.81,60.51,0.978,95.04,7.0,0.188,11.19,14.35,30.57,59.74,982.39,850.0,13.36,55.06,0,26.97,0.91,766.8,11.33,9.29,56.82,0.403,96.5,360.02,1.094,27.25,6.76,44.5,0.0,0.88,32694.0,11.59,82.0,18.66,1.009,40.0,8.25
0.033333,1870.7,64.16,57.55,450.68,60.59,0.901,95.01,6.96,0.19,11.05,14.19,30.61,59.82,982.34,850.0,13.37,54.84,0,26.92,1.05,770.8,11.76,8.86,56.97,0.414,96.48,360.03,1.56,27.22,7.08,44.8,0.0,0.89,32902.0,11.7,82.0,18.94,1.009,40.0,8.22
0.05,1855.0,64.38,57.77,454.7,60.73,0.916,95.02,6.95,0.19,11.12,14.18,30.59,59.21,982.55,850.0,13.38,54.98,0,26.93,1.05,763.0,11.04,8.95,56.71,0.415,96.48,360.05,1.394,27.23,6.79,44.94,0.0,0.89,32745.0,11.72,82.0,18.96,1.005,40.0,8.2
0.066667,1843.2,65.15,58.21,460.6,60.71,0.89,95.04,7.07,0.187,11.23,14.16,30.47,59.08,982.6,850.0,13.35,54.98,0,26.95,1.02,759.2,10.62,9.3,56.94,0.404,96.48,360.07,1.331,27.25,6.06,44.4,0.0,0.85,32195.0,12.24,82.0,19.28,1.0,40.0,8.19
0.083333,1832.7,64.96,58.16,454.51,60.91,0.927,95.03,6.99,0.189,11.32,14.36,30.52,59.12,982.63,850.0,13.34,54.72,0,26.96,1.4,755.2,10.94,9.02,56.82,0.388,96.5,360.08,1.359,27.25,6.14,44.26,0.0,0.87,32654.0,12.03,82.0,19.12,1.001,40.0,8.16
0.1,1840.4,64.43,58.01,454.51,60.97,0.921,95.04,7.21,0.188,11.37,14.42,30.54,59.78,982.63,850.0,13.35,54.22,0,26.94,1.57,758.7,10.53,9.13,56.51,0.402,96.51,360.1,1.534,27.23,6.39,44.27,0.0,0.85,32527.0,12.18,82.0,19.04,1.002,40.0,8.15
0.116667,1837.2,64.44,58.01,454.03,60.95,0.95,95.02,7.33,0.191,11.49,14.45,30.43,59.72,982.66,850.0,13.31,54.39,0,26.89,1.59,756.5,10.07,9.08,56.49,0.402,96.48,360.12,1.389,27.2,6.73,43.89,0.0,0.86,32470.0,12.0,82.0,18.95,0.999,40.0,8.03
0.133333,1846.2,64.62,58.35,450.98,61.11,0.943,95.02,7.3,0.191,11.52,14.22,30.48,59.67,982.67,850.0,13.28,54.22,0,26.91,1.54,760.3,10.0,8.88,56.73,0.404,96.48,360.13,1.513,27.2,6.89,44.02,0.0,0.85,32683.0,12.08,82.0,18.66,0.997,40.0,7.88
0.15,1829.1,65.04,58.17,453.64,60.87,0.934,95.02,7.29,0.188,11.62,14.29,30.48,59.58,982.53,850.0,13.29,54.42,0,26.91,1.41,754.1,10.0,9.18,56.94,0.405,96.49,360.15,1.425,27.22,6.9,43.68,0.0,0.88,33463.0,11.86,82.0,18.76,1.005,40.0,7.76
